author_id,dates,label,label_ka,play_id,reference,sort_ja
117,,"Tsuruzawa Jūzō, IV",鶴澤重造,[47],"Kokuritsu Gekijō jōen shiryōshū, edited by Kokuritsu Gekijō Geinō Chōsashitsu, vol. 194, September 1981",つるざわじゅうぞう
118,,Chikamatsu Kasaku,近松加作,[29],"伊賀越道中雙六 / 近松半二, 近松加作作, 大阪 : 加嶋清助, [出版年不明] from NACSIS record",ちかまつかさく
119,,Sakae Zenpei,栄善平,[79],"妹脊山婦女庭訓 : 十三鐘絹懸柳 / 近松半二 [ほか] 作 ; 三好松洛後見, 東京 : 金櫻堂, 1891.5 from NACSIS record",さかえぜんぺい
120,1925-,Yamada Shōichi,山田庄一,,LC Authorities,やまだしょういち
121,,Takeshiba Kamesuke,,[92],Sakuratsuba Urami no Samezaya,たけしばかめすけ
122,,"Tsuruzawa Dōhachi, I",鶴澤 道八,"[70, 96]",Sannin Katawa September 1972 Program,つるざわどうはち
123,'1954-',Toyotake Komatsudayū II,豊竹小松大夫 (二),,Performers,とよたけこまつだゆう（２)
124,1924-2004,Barbara C. Adachi,,,LC Authorities,
125,1938-,Harri Peccinotti,,,LC Authorities,
126,1943-,Fukuda Fumio,福田文男,,LC Authorities,フクダ フミオ
127,1900-,M. Arai,,,Ad Hoc,
128,Ad Hoc,Unknown. Photo: Columbia University Libraries,1900-,,,
